followers,is_public,is_collaborative,num_of_songs,num_of_markets_avg,song_popularity_avg,song_popularity_std,song_duration_avg,song_duration_std,num_of_artists,artist_popularity_avg,artist_popularity_std,artist_genres,last_update,first_update,active_period,playlist_name_length,name_score,decade_1900,decade_1910,decade_1920,decade_1930,decade_1940,decade_1950,decade_1960,decade_1970,decade_1980,decade_1990,decade_2000,decade_2010,danceability_avg,danceability_std,energy_avg,energy_std,key_avg,key_std,loudness_avg,loudness_std,mode_avg,mode_std,speechiness_avg,speechiness_std,acousticness_avg,acousticness_std,instrumentalness_avg,instrumentalness_std,liveness_avg,liveness_std,valence_avg,valence_std,tempo_avg,tempo_std,duration_ms_avg,duration_ms_std,time_signature_avg,time_signature_std
1748,1,0,500,58.84,32.16,15.797290907,293126.22,87495.8709522,123,48.736,11.0048309392,133,1512438394.0,1442276939.0,70161455.0,21,0,0,0,0,0,0,0,0,0,0,0.15,0.51,0.34,0.65087,0.173364220934,0.62774,0.209007397955,5.21,3.7477860131,-9.85259,3.9689931824,0.51,0.499899989998,0.074127,0.0530675057922,0.23277667,0.273768731284,0.4807041374,0.355233198503,0.184313,0.125309361705,0.476182,0.265770814191,119.36949,30.7817683383,293126.62,87495.93044,3.99,0.299833287011
372,1,0,500,50.56,32.58,15.7823825831,199772.75,69685.2094221,106,49.5327102804,11.1810234405,75,1512438169.0,1442276914.0,70161255.0,32,0,0,0,0,0.02,0,0.04,0.06,0.13,0.06,0.16,0.33,0.2,0.54805,0.13610814634,0.425242,0.218262467768,5.54,3.47971263181,-11.30026,4.23928513224,0.92,0.271293199325,0.040261,0.0207347673968,0.5583823,0.296683731738,0.0261373426,0.117686815406,0.213293,0.183454293084,0.55111,0.234668101582,108.59603,27.8571732476,199761.86,69692.3016457,3.79,0.570876519048
299,1,0,400,52.15,32.35,13.2788365454,175589.23,37510.9767132,110,47.8272727273,14.7030356117,59,1512429199.0,1442246860.0,70182339.0,27,0,0,0,0,0,0,0.03,0.1,0.02,0.04,0.23,0.26,0.32,0.52143,0.14691632006,0.365757,0.154289574667,5.18,3.37158716334,-12.05555,3.66229695785,0.65,0.476969600708,0.05413,0.0518801879334,0.68483,0.223126244758,0.314984398,0.379720644858,0.206489,0.158822590267,0.58071,0.244091532217,121.63163,32.2060530012,175589.55,37511.0309395,3.81,0.503884907494
80,1,0,500,54.7,46.12,15.8879073512,203962.42,40087.2302289,158,46.9936708861,16.7356576932,42,1512428139.0,1459448884.0,52979255.0,25,0,0,0,0,0,0,0,0,0,0,0,0.02,0.98,0.66621,0.0905115788173,0.77116,0.101861447074,5.03,3.80382702025,-5.54005,1.555006086,0.53,0.499099188539,0.083593,0.0590704972977,0.10100227,0.130834486293,0.0534805275,0.173097012655,0.193724,0.136774181862,0.481154,0.21727508206,124.15958,18.2927718786,203974.11,40086.9940734,4.0,0.0
4290,1,0,600,55.23,42.55,11.0420786087,226254.31,52659.1757975,135,52.8387096774,11.8405993042,32,1512423945.0,1442245538.0,70178407.0,32,0,0,0,0,0,0,0,0,0,0,0.17,0.35,0.48,0.65553,0.121451097566,0.71337,0.137246395581,4.88,3.62292699347,-7.22478,2.41020002315,0.61,0.48774993593,0.249524,0.106505774604,0.17915337,0.179386666904,0.0502941587,0.184725241953,0.253732,0.191577943344,0.610217,0.186588321743,103.18439,26.1921399851,226266.57,52660.4383154,3.99,0.223383079037
416,1,0,500,58.88,35.75,17.1542268844,356202.22,169776.020174,259,49.4448529412,13.3034677028,36,1512426458.0,1446530766.0,65895692.0,22,0,0,0,0,0,0,0,0.01,0.01,0.08,0.14,0.36,0.4,0.259968,0.132459420865,0.1213502,0.114032367563,5.01,3.39851438131,-22.41534,5.90087393226,0.66,0.473708771293,0.048693,0.0243756897543,0.92528,0.0909145840886,0.5011991087,0.391596746556,0.153822,0.160902881006,0.158677,0.17153121515,100.80757,29.8827551933,356197.07,169780.538523,3.64,0.818779579618
377,1,0,500,37.63,42.32,12.5681183954,224881.71,37575.5945191,105,52.4444444444,8.81321958799,38,1512427235.0,1459448818.0,52978417.0,34,0,0,0,0,0,0,0,0,0,0,0.01,0.09,0.9,0.56172,0.161348509755,0.74596,0.153279347598,5.03,3.62892546079,-6.44276,2.05298274284,0.51,0.499899989998,0.069401,0.0605838996681,0.1405143378,0.185424182434,0.1002269088,0.230284751753,0.18555,0.169727256797,0.508271,0.210059727361,125.01722,30.3489056454,224882.18,37575.6554315,3.99,0.172916164658
560,1,0,500,59.45,41.73,11.0678408012,229752.81,92154.1592622,122,51.2384615385,12.1267687662,23,1512435956.0,1444017859.0,68418097.0,22,0,0.01,0,0,0,0,0,0,0,0,0.02,0.16,0.81,0.335779,0.157051584707,0.4839779,0.285019191867,5.14,3.53841772548,-12.32402,5.36227497613,0.43,0.495075751779,0.048484,0.0239949232964,0.4337940072,0.371545964443,0.6738570587,0.35209748947,0.135024,0.0743550995158,0.221382,0.209734394595,112.31172,31.5599409296,229753.12,92154.1987411,3.71,0.637102817448
1218,1,0,500,50.41,39.5,13.0831953284,251687.8,82201.7429732,100,51.78,10.2211349663,144,1512428875.0,1442246817.0,70182058.0,22,0,0,0,0,0,0,0,0,0.01,0.11,0.21,0.18,0.49,0.50046,0.15689585208,0.62853,0.251053797223,5.31,3.43131170254,-9.12814,3.65408241018,0.7,0.458257569496,0.046341,0.032784890102,0.302075646,0.34367184182,0.2537614607,0.334991812853,0.160439,0.120651404381,0.463511,0.230479665001,123.33974,27.6246806206,251686.39,82203.8102113,3.95,0.217944947177
96,1,0,500,57.91,41.18,14.9428109805,209942.62,42034.710209,116,53.8617886179,14.9776664107,14,1512436095.0,1434418512.0,78017583.0,22,0,0,0,0,0,0,0,0,0,0,0.09,0.32,0.59,0.58576,0.121041986104,0.71175,0.174104989877,5.15,4.03577749634,-6.08269,2.6627943807,0.87,0.336303434416,0.064251,0.0540241991981,0.4208953,0.204855439486,0.0016696626,0.0120441044464,0.430514,0.318124883346,0.62133,0.186403597337,121.5378,30.0310562219,209942.05,42033.3568677,3.83,0.510979451642
343,1,0,500,60.78,39.74,13.9897248007,188867.58,48467.7582517,130,50.320610687,10.4904661738,39,1512425926.0,1494599750.0,17826176.0,21,0,0,0,0,0,0,0,0,0,0,0.01,0.07,0.92,0.65795,0.117725899869,0.57737,0.191908918761,6.33,3.42360920667,-8.5681,2.96891484048,0.41,0.491833305094,0.158856,0.116011861738,0.297338457,0.260536799913,0.4877776935,0.38482586958,0.230672,0.183961175295,0.545135,0.19153473386,105.98906,33.3483623936,188868.0,48467.6954884,3.91,0.449332838773
290,1,0,500,46.66,41.71,13.4501263935,186489.69,38769.8942959,101,47.8415841584,11.2000112034,57,1512425850.0,1442245819.0,70180031.0,25,0,0,0,0,0,0,0,0.21,0.1,0.04,0.15,0.38,0.12,0.55541,0.129025973742,0.51349,0.170856342873,5.33,3.64157932771,-9.85849,3.02896353393,0.79,0.407308237088,0.045431,0.0295766147319,0.4442487,0.265100536501,0.0078358224,0.0458795836998,0.199783,0.156641243008,0.66359,0.193499203874,119.55718,30.1332208578,186490.97,38762.5296077,3.84,0.366606055596
1048,1,0,200,49.69,30.78,21.8167733636,249534.69,68507.5514401,102,38.8796296296,23.7399950048,63,1512430200.0,1433261523.0,79168677.0,23,0,0,0,0,0,0,0,0,0,0.08,0.41,0.36,0.15,0.482,0.129217413687,0.8327,0.157317227283,5.59,3.81862540713,-6.6615,3.0281075724,0.72,0.448998886413,0.104644,0.0856753293778,0.053455765,0.108615842967,0.0804787708,0.208880458912,0.25589,0.209863682661,0.500726,0.227251890034,128.27215,32.2171339381,249537.17,68513.3205917,3.94,0.369323706252
672,1,0,500,54.78,38.58,15.3069788005,220901.43,40340.4320448,142,51.5266666667,11.2224160599,54,1512438979.0,1459213682.0,53225297.0,25,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.62141,0.129974312462,0.66313,0.188139876422,5.75,3.75066660742,-7.80903,3.13254049441,0.47,0.499099188539,0.10726,0.0905983046199,0.2008873982,0.24543820825,0.3275045146,0.355610620267,0.184416,0.137880315288,0.297363,0.206225167065,119.97298,29.6250929352,220901.84,40340.4400379,4.01,0.172916164658
383,1,0,500,60.36,42.77,14.9765516725,245207.28,57792.5531343,148,50.6298701299,11.2174211095,38,1512438132.0,1459449654.0,52988478.0,22,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.57947,0.122567324765,0.78826,0.155884676604,5.47,3.49987142621,-5.34935,2.20286051476,0.43,0.495075751779,0.085402,0.0713423702718,0.0534619974,0.0911974602858,0.2386776078,0.330280226811,0.225383,0.175588160794,0.313206,0.187645241251,135.10008,25.6258050323,245207.71,57792.6146396,3.98,0.14
379,1,0,500,55.92,29.49,15.6156940288,169609.52,37464.4421198,105,47.1523809524,11.8889952736,110,1512435709.0,1445898071.0,66537638.0,23,0,0,0,0,0,0,0.11,0.07,0.06,0.1,0.09,0.31,0.26,0.50547,0.13273578681,0.59247,0.246367792335,4.94,3.64093394612,-9.50681,3.79313708082,0.76,0.427083130081,0.054275,0.037773099886,0.49223514,0.306462985509,0.0512242587,0.172431247439,0.2105327,0.145240942987,0.653215,0.250957080544,126.14975,34.8746882436,169609.85,37464.5500887,3.85,0.497493718553
